Id,Genre,revenue,percentage
1,Rock,7720.0199999999995,37.03
2,Jazz,746.46,3.58
3,Metal,2093.13,10.04
4,Alternative & Punk,1961.66,9.41
5,Rock And Roll,83.16,0.4
6,Blues,429.66,2.06
7,Latin,3472.5499999999997,16.66
8,Reggae,332.64,1.6
9,Pop,239.75,1.15
10,Soundtrack,242.54999999999998,1.16
11,Bossa Nova,86.13,0.41
12,Easy Listening,138.6,0.66
13,Heavy Metal,161.37,0.77
14,R&B/Soul,338.62,1.62
15,Electronica/Dance,149.62,0.72
16,World,182.18,0.87
17,Hip Hop/Rap,166.41,0.8
18,Science Fiction,102.41,0.49
19,TV Shows,817.71,3.92
20,Sci Fi & Fantasy,198.87,0.95
21,Drama,544.61,2.61
22,Comedy,112.3,0.54
23,Alternative,211.17,1.01
24,Classical,317.04,1.52
25,Opera,,
